あ a
い i
う u
え e
お o
か ka
き ki
く ku
け ke
こ ko
きゃ kya
きゅ kyu
きょ kyo
が ga
ぎ gi
ぐ gu
げ ge
ご goF
ぎゃ gya
ぎゅ gyu
ぎょ gyo
さ sa
し si
す su
せ se
そ so
しゃ sya
しゅ syu
しょ syo
ざ za
じ zi
ず zu
ぜ ze
ぞ zo
じゃ zya
じゅ zyu
じょ zyo
た ta
ち ti
つ tu
て te
と to
ちゃ tya
ちゅ tyu
ちょ tyo
だ da
ぢ zi
づ zu
で de
ど do
ぢゃ zya
ぢゅ zyu
ぢょ zyo
な na
に ni
ぬ nu
ね ne
の no
にゃ nya
にゅ nyu
にょ nyo
は ha
ひ hi
ふ hu
へ he
ほ ho
ひゃ hya
ひゅ hyu
ひょ hyo
ば ba
び bi
ぶ bu
べ be
ぼ bo
びゃ bya
びゅ byu
びょ byo
ぱ pa
ぴ pi
ぷ pu
ぺ pe
ぽ po
ぴゃ pya
ぴゅ pyu
ぴょ pyo
ま ma
み mi
む mu
め me
も mo
みゃ mya
みゅ myu
いょ myo
や ya
ゆ yu
よ yo
ら ra
り ri
る ru
れ re
ろ ro
わ wa
を o
ん n
